scheme_name,candidate_id,stage_count,onchip_peak_util_pct,static_dma_fragmentation_score_est,boundary_bytes,static_pipeline_cycle_ms_est,static_pipeline_fps_est,static_score_ms,theory_effective_device_pattern,theory_corrected_cycle_ms,theory_corrected_fps,theory_predicted_cycle_ms,theory_predicted_fps,theory_residual_ms,theory_max_cpu_stage_ms,theory_tail_cpu_ms,theory_vta_total_occupied_ms,theory_vta_compute_submit_ms,theory_vta_dma_ms,theory_boundary_ms,theory_dma_fragmentation_penalty_ms,theory_sram_spill_penalty_ms,theory_cpu_tail_penalty_ms,theory_small_island_penalty_ms,theory_effective_segment_penalty_ms,theory_vta_island_lengths,theory_single_unit_vta_island_count,theory_hard_reject,vta_unit_names,hard_reject,reject_reasons,static_dma_bytes_est,static_rank_score
islands_3_9__13_17,islands_3_9__13_17,5,38.28125,0.01591480896378211,1505280,128.58640000000003,7.776872204214441,134.85838280896382,cpu/vta/cpu/vta/cpu,134.77702947563043,7.419661969778121,169.77702947563043,5.890078316769812,-35.0,128.58640000000003,58.04015999999999,160.75759466666665,157.25073066666664,3.506864,1.00352,0.01591480896378211,0.0,0.0,0.0,8.0,"7,5",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer2_block0_add_relu_tail,layer2_block1_main_preadd,layer2_block1_add_relu_tail,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd,layer4_block0_skip_proj,layer4_block0_add_relu_tail",False,,4375296,134.85838280896382
islands_3_9__13_16,islands_3_9__13_16,5,38.28125,0.01515241195620006,1605632,128.58640000000003,7.776872204214441,134.92452174528958,cpu/vta/cpu/vta/cpu,134.79658174528953,7.418585746407067,169.79658174528953,5.889400067547248,-35.0,128.58640000000003,58.046431999999996,160.711008,157.24759466666666,3.4634133333333335,1.0704213333333334,0.01515241195620006,0.0,0.0,0.0,8.0,"7,4",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer2_block0_add_relu_tail,layer2_block1_main_preadd,layer2_block1_add_relu_tail,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd,layer4_block0_skip_proj",False,,4325120,134.92452174528958
islands_3_8__13_17,islands_3_8__13_17,5,38.28125,0.015698779665174464,1906688,128.65808,7.7725394316470435,135.2558027796652,cpu/vta/cpu/vta/cpu,134.8826961129985,7.413849432267028,169.8826961129985,5.886414701911983,-35.0,128.65808,58.04015999999999,160.59587199999999,157.23281066666667,3.3630613333333335,1.2711253333333332,0.015698779665174464,0.0,0.0,0.0,8.0,"6,5",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer2_block0_add_relu_tail,layer2_block1_main_preadd,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd,layer4_block0_skip_proj,layer4_block0_add_relu_tail",False,,4174592,135.2558027796652
islands_3_8__13_16,islands_3_8__13_16,5,38.28125,0.014896654459685929,2007040,128.65808,7.7725394316470435,135.32190198779304,cpu/vta/cpu/vta/cpu,134.90220865445968,7.412777077367305,169.90220865445968,5.885738672378062,-35.0,128.65808,58.046431999999996,160.54928533333333,157.22967466666665,3.3196106666666667,1.3380266666666667,0.014896654459685929,0.0,0.0,0.0,8.0,"6,4",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer2_block0_add_relu_tail,layer2_block1_main_preadd,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd,layer4_block0_skip_proj",False,,4124416,135.32190198779304
islands_3_9__13_15,islands_3_9__13_15,5,38.28125,0.014484881405033496,1705984,128.58640000000003,7.776872204214441,134.99075554807175,cpu/vta/cpu/vta/cpu,139.65675688140502,7.1604125881942755,174.65675688140502,5.725515679184501,-35.0,128.58640000000003,59.652063999999996,159.50494933333331,156.17717333333331,3.327776,1.1373226666666667,0.014484881405033496,0.0,0.0,6.0,8.0,"7,3",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer2_block0_add_relu_tail,layer2_block1_main_preadd,layer2_block1_add_relu_tail,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd",False,,4241664,134.99075554807175
islands_3_8__13_15,islands_3_8__13_15,5,38.28125,0.014190687361419069,2107392,128.65808,7.7725394316470435,135.3880973540281,cpu/vta/cpu/vta/cpu,139.76234535402807,7.155002997888509,174.76234535402807,5.7220564188139695,-35.0,128.65808,59.652063999999996,159.34322666666665,156.1592533333333,3.1839733333333333,1.404928,0.014190687361419069,0.0,0.0,6.0,8.0,"6,3",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer2_block0_add_relu_tail,layer2_block1_main_preadd,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd",False,,4040960,135.3880973540281
islands_3_7__10_15,islands_3_7__10_15,5,38.28125,0.014901915128936492,1906688,165.32240000000002,6.0487870972112665,189.08417658179565,cpu/vta/cpu/vta/cpu,143.26030991512897,6.980300409739622,178.26030991512897,5.609773709448319,-35.0,165.32240000000002,59.652063999999996,141.27618133333334,137.62429866666668,3.651882666666667,1.2711253333333332,0.014901915128936492,0.0,0.0,0.0,8.0,"5,6",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer2_block0_add_relu_tail,layer3_block0_main_preadd,layer3_block0_skip_proj,layer3_block0_add_relu_tail,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd",False,,4397824,189.08417658179565
islands_3_7__10_17,islands_3_7__10_17,5,38.28125,0.01627026721654144,1705984,165.32240000000002,6.0487870972112665,188.63858093388325,cpu/vta/cpu/vta/cpu,143.30696360054992,6.978027967903736,178.30696360054992,5.608305922589979,-35.0,165.32240000000002,58.04015999999999,142.52882666666665,138.69785599999997,3.8309706666666665,1.1373226666666667,0.01627026721654144,0.0,0.0,0.0,8.0,"5,8",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer2_block0_add_relu_tail,layer3_block0_main_preadd,layer3_block0_skip_proj,layer3_block0_add_relu_tail,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd,layer4_block0_skip_proj,layer4_block0_add_relu_tail",False,,4531456,188.63858093388325
islands_3_7__10_16,islands_3_7__10_16,5,38.28125,0.015538417594972865,1806336,165.32240000000002,6.0487870972112665,188.71639708426167,cpu/vta/cpu/vta/cpu,143.329682417595,6.9769218987485955,178.329682417595,5.607591436507456,-35.0,165.32240000000002,58.046431999999996,142.48224,138.69472,3.7875199999999998,1.204224,0.015538417594972865,0.0,0.0,0.0,8.0,"5,7",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer2_block0_add_relu_tail,layer3_block0_main_preadd,layer3_block0_skip_proj,layer3_block0_add_relu_tail,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd,layer4_block0_skip_proj",False,,4481280,188.71639708426167
islands_3_6__10_15,islands_3_6__10_15,5,38.28125,0.01463860933211345,2308096,165.39408000000003,6.046165618503394,189.44111860933216,cpu/vta/cpu/vta/cpu,143.45552927599883,6.970801369921873,178.45552927599883,5.603636962424419,-35.0,165.39408000000003,59.652063999999996,141.11445866666665,137.60637866666664,3.50808,1.5387306666666667,0.01463860933211345,0.0,0.0,0.0,8.0,"4,6",0,False,"layer1_block1_main_preadd,layer1_block1_add_relu_tail,layer2_block0_main_preadd,layer2_block0_skip_proj,layer3_block0_main_preadd,layer3_block0_skip_proj,layer3_block0_add_relu_tail,layer3_block1_main_preadd,layer3_block1_add_relu_tail,layer4_block0_main_preadd",False,,4197120,189.44111860933216
