device,case,kernel_ms,copy_ms,total_ms,copy_share_pct,copy_over_kernel
vta,s4_conv3x3_512_512,63.8504,484.1860,571.4948,84.7,7.58
vta,s3_conv3x3_256_256,47.5256,113.2462,174.0921,65.0,2.38
vta,s3_conv3x3_128_256_s2,39.6305,69.3886,114.5891,60.6,1.75
vta,s1_conv3x3_64_64,38.6677,83.4292,127.7618,65.3,2.16
vta,s2_conv3x3_64_128_s2,36.7033,78.7669,122.9946,64.0,2.15
vta,s3_proj1x1_128_256_s2,31.9751,44.1095,81.3906,54.2,1.38
vta,s2_proj1x1_64_128_s2,31.7117,71.2414,109.8642,64.8,2.25
arm_cpu,s1_conv3x3_64_64,27.3373,74.9558,106.9731,70.1,2.74
vta,s2_conv3x3_128_128,26.3176,62.7682,93.9772,66.8,2.39
arm_cpu,s4_conv3x3_512_512,18.1137,259.9762,306.3365,84.9,14.35
arm_cpu,s3_conv3x3_256_256,15.0973,91.4496,114.4121,79.9,6.06
arm_cpu,s2_conv3x3_128_128,11.2187,60.8465,75.9026,80.2,5.42
arm_cpu,s4_conv3x3_256_512_s2,9.4320,151.4373,173.8123,87.1,16.06
arm_cpu,s3_conv3x3_128_256_s2,8.4466,66.5110,79.0571,84.1,7.87
vta,s4_conv3x3_256_512_s2,7.7747,161.7773,180.5302,89.6,20.81
arm_cpu,s2_conv3x3_64_128_s2,6.2373,61.8432,71.6214,86.3,9.92
vta,s4_proj1x1_256_512_s2,5.8481,42.9642,52.6542,81.6,7.35
arm_cpu,s2_proj1x1_64_128_s2,0.8955,54.0969,57.6143,93.9,60.41
arm_cpu,s4_proj1x1_256_512_s2,0.8498,38.0783,41.6628,91.4,44.81
arm_cpu,s3_proj1x1_128_256_s2,0.8116,38.2644,42.2425,90.6,47.15
