case_id,elements,input_count,output_bits,output_count,x,y,wall_us,device_run_wait_us,driver_submit_mmio_us,load_buffer_2d_bytes,store_buffer_2d_bytes,load_buffer_2d_calls,store_buffer_2d_calls,load_buffer_2d_small_calls,load_buffer_2d_strided_calls,load_buffer_2d_padded_calls
acc1_2x16_out1,512,1,8,1,16,2,80.0261,68.1684,4.01586,2048.0,512.0,1.0,1.0,1.0,0.0,0.0
acc1_2x16_out2,512,1,8,2,16,2,80.5331,67.4359,4.04613,2048.0,1024.0,1.0,2.0,1.0,0.0,0.0
acc2_2x16_out1,512,2,8,1,16,2,81.4295,67.3542,4.02064,4096.0,512.0,2.0,1.0,2.0,0.0,0.0
acc2_2x16_out2,512,2,8,2,16,2,82.5974,67.5282,4.08123,4096.0,1024.0,2.0,2.0,2.0,0.0,0.0
acc1_8x16_out1,2048,1,8,1,16,8,79.0583,67.3624,4.031429999999999,8192.0,2048.0,1.0,1.0,0.0,0.0,0.0
acc1_8x16_out2,2048,1,8,2,16,8,81.617,67.983,4.02304,8192.0,4096.0,1.0,2.0,0.0,0.0,0.0
acc2_8x16_out1,2048,2,8,1,16,8,81.5849,68.2371,4.05455,16384.0,2048.0,2.0,1.0,0.0,0.0,0.0
acc2_8x16_out2,2048,2,8,2,16,8,82.6916,67.9051,4.0575,16384.0,4096.0,2.0,2.0,0.0,0.0,0.0
acc1_16x16_out1,4096,1,8,1,16,16,80.3897,67.9567,4.09145,16384.0,4096.0,1.0,1.0,0.0,0.0,0.0
acc1_16x16_out2,4096,1,8,2,16,16,81.3164,67.7323,4.02249,16384.0,8192.0,1.0,2.0,0.0,0.0,0.0
acc2_16x16_out1,4096,2,8,1,16,16,80.6882,66.976,4.0371,32768.0,4096.0,2.0,1.0,0.0,0.0,0.0
acc2_16x16_out2,4096,2,8,2,16,16,82.4867,67.4965,4.04584,32768.0,8192.0,2.0,2.0,0.0,0.0,0.0
acc1_16x32_out1,8192,1,8,1,32,16,78.6383,66.9127,4.04495,32768.0,8192.0,1.0,1.0,0.0,0.0,0.0
acc1_16x32_out2,8192,1,8,2,32,16,80.83760000000001,67.5307,4.04642,32768.0,16384.0,1.0,2.0,0.0,0.0,0.0
acc2_16x32_out1,8192,2,8,1,32,16,81.9761,68.2714,4.01163,65536.0,8192.0,2.0,1.0,0.0,0.0,0.0
acc2_16x32_out2,8192,2,8,2,32,16,140.30200000000002,125.46700000000001,4.067130000000001,65536.0,16384.0,2.0,2.0,0.0,0.0,0.0
