access_kind,case_id,elements,input_count,input_x,input_y,output_bits,output_count,output_x,output_y,pad_left,pad_top,x,y,wall_us,device_run_wait_us,driver_submit_mmio_us,load_buffer_2d_bytes,store_buffer_2d_bytes,load_buffer_2d_calls,store_buffer_2d_calls,load_buffer_2d_small_calls,load_buffer_2d_strided_calls,load_buffer_2d_padded_calls,predicted_contiguous_us,access_pattern_penalty_us
contiguous,acc1_2x16_out1,512,1,16,2,8,1,16,2,0,0,16,2,25.8231,13.693,5.91454,2048.0,512.0,1.0,1.0,1.0,0.0,0.0,13.868065309337407,-0.17506530933740727
contiguous,acc1_2x16_out2,512,1,16,2,8,2,16,2,0,0,16,2,27.483,14.0674,5.958060000000001,2048.0,1024.0,1.0,2.0,1.0,0.0,0.0,14.464032086673289,-0.3966320866732893
contiguous,acc2_2x16_out1,512,2,16,2,8,1,16,2,0,0,16,2,28.046100000000003,14.3683,5.9091499999999995,4096.0,512.0,2.0,1.0,2.0,0.0,0.0,15.305441285486344,-0.9371412854863443
contiguous,acc2_2x16_out2,512,2,16,2,8,2,16,2,0,0,16,2,30.9831,15.8351,5.931380000000001,4096.0,1024.0,2.0,2.0,2.0,0.0,0.0,15.901408062822226,-0.06630806282222501
contiguous,acc1_8x16_out1,2048,1,16,8,8,1,16,8,0,0,16,8,32.138400000000004,19.762999999999998,5.93975,8192.0,2048.0,1.0,1.0,0.0,0.0,0.0,19.968093569791865,-0.20509356979186677
contiguous,acc1_8x16_out2,2048,1,16,8,8,2,16,8,0,0,16,8,36.460300000000004,22.429699999999997,5.95506,8192.0,4096.0,1.0,2.0,0.0,0.0,0.0,22.35196067913539,0.07773932086460533
contiguous,acc2_8x16_out1,2048,2,16,8,8,1,16,8,0,0,16,8,39.4447,25.718000000000004,5.945449999999999,16384.0,2048.0,2.0,1.0,0.0,0.0,0.0,25.717597474387617,0.00040252561238673934
contiguous,acc2_8x16_out2,2048,2,16,8,8,2,16,8,0,0,16,8,43.9243,28.4844,5.94727,16384.0,4096.0,2.0,2.0,0.0,0.0,0.0,28.101464583731143,0.3829354162688574
contiguous,acc1_16x16_out1,4096,1,16,16,8,1,16,16,0,0,16,16,41.9428,28.6974,5.93648,16384.0,4096.0,1.0,1.0,0.0,0.0,0.0,28.101464583731143,0.5959354162688548
contiguous,acc1_16x16_out2,4096,1,16,16,8,2,16,16,0,0,16,16,47.2478,32.210100000000004,5.915170000000001,16384.0,8192.0,1.0,2.0,0.0,0.0,0.0,32.8691988024182,-0.6590988024181925
contiguous,acc2_16x16_out1,4096,2,16,16,8,1,16,16,0,0,16,16,54.3719,39.3895,5.921749999999999,32768.0,4096.0,2.0,1.0,0.0,0.0,0.0,39.600472392922654,-0.21097239292265613
contiguous,acc2_16x16_out2,4096,2,16,16,8,2,16,16,0,0,16,16,59.8536,43.8337,5.92747,32768.0,8192.0,2.0,2.0,0.0,0.0,0.0,44.36820661160971,-0.5345066116097072
contiguous,acc1_16x32_out1,8192,1,32,16,8,1,32,16,0,0,32,16,59.2125,46.95439999999999,5.916040000000001,32768.0,8192.0,1.0,1.0,0.0,0.0,0.0,44.36820661160971,2.586193388390285
contiguous,acc1_16x32_out2,8192,1,32,16,8,2,32,16,0,0,32,16,69.3973,54.794700000000006,5.94876,32768.0,16384.0,1.0,2.0,0.0,0.0,0.0,53.903675048983814,0.8910249510161918
contiguous,acc2_16x32_out1,8192,2,32,16,8,1,32,16,0,0,32,16,81.9806,68.0863,5.94938,65536.0,8192.0,2.0,1.0,0.0,0.0,0.0,67.36622222999272,0.7200777700072791
contiguous,acc2_16x32_out2,8192,2,32,16,8,2,32,16,0,0,32,16,91.0491,74.8322,5.95504,65536.0,16384.0,2.0,2.0,0.0,0.0,0.0,76.90169066736682,-2.0694906673668214
strided,strided_8x20_to_8x16_out1,2048,1,20,8,8,1,16,8,0,0,16,8,36.6523,23.823800000000002,5.917870000000001,8192.0,2048.0,1.0,1.0,0.0,1.0,0.0,19.968093569791865,3.855706430208137
strided,strided_8x20_to_8x16_out2,2048,1,20,8,8,2,16,8,0,0,16,8,40.3798,25.979,6.00394,8192.0,4096.0,1.0,2.0,0.0,1.0,0.0,22.35196067913539,3.6270393208646077
strided,strided_16x24_to_16x16_out1,4096,1,24,16,8,1,16,16,0,0,16,16,51.415699999999994,38.5779,5.940650000000001,16384.0,4096.0,1.0,1.0,0.0,1.0,0.0,28.101464583731143,10.476435416268856
strided,strided_16x24_to_16x16_out2,4096,1,24,16,8,2,16,16,0,0,16,16,56.0388,41.209300000000006,5.93586,16384.0,8192.0,1.0,2.0,0.0,1.0,0.0,32.8691988024182,8.34010119758181
padded,padded_8x16_p1_out1,2880,1,16,8,8,1,18,10,1,1,18,10,38.7385,26.6136,5.90944,8192.0,2880.0,1.0,1.0,0.0,0.0,1.0,20.936539582962673,5.677060417037328
padded,padded_8x16_p1_out2,2880,1,16,8,8,2,18,10,1,1,18,10,42.632200000000005,29.0607,5.92385,8192.0,5760.0,1.0,2.0,0.0,0.0,1.0,24.28885270547701,4.771847294522992
padded,padded_16x16_p2_out1,6400,1,16,16,8,1,20,20,2,2,20,20,55.7121,43.5248,5.92083,16384.0,6400.0,1.0,1.0,0.0,0.0,1.0,30.783315081742614,12.741484918257385
padded,padded_16x16_p2_out2,6400,1,16,16,8,2,20,20,2,2,20,20,61.820100000000004,48.211099999999995,5.968859999999999,16384.0,12800.0,1.0,2.0,0.0,0.0,1.0,38.23289979844114,9.978200201558856
