access_kind,alu_fixed_sequence,alu_opcode,alu_repeats,batch,block_out,case_id,contiguous_model_residual_us,device_run_wait_us,driver_submit_mmio_us,elements,eligible_for_direct_physical_model,excludes,family,includes,input_count,input_fill,input_x,input_y,load_buffer_2d_bytes,load_buffer_2d_calls,load_buffer_2d_padded_calls,load_buffer_2d_small_calls,load_buffer_2d_strided_calls,logical_input_x,logical_input_y,measurement_kind,output_bits,output_count,output_x,output_y,pad_left,pad_top,pair_id,pair_role,predicted_contiguous_us,sample_total_wall_ms,store_buffer_2d_bytes,store_buffer_2d_calls,target_access_kind,wall_us,x,y
contiguous,"['identity_shift', 'add']",add,1,1,16,acc1_2x16_out1,0.38778949303036114,13.7155,5.917955,512,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",1,pattern,16,2,2048.0,1.0,0.0,1.0,0.0,16,2,dma_component_identification,8,1,16,2,0,0,,,13.32771050696964,25.92915,512.0,1.0,contiguous,25.92915,16,2
contiguous,"['identity_shift', 'add']",add,1,1,16,acc1_2x16_out2,0.20489516532105156,14.06955,5.912115,512,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",1,pattern,16,2,2048.0,1.0,0.0,1.0,0.0,16,2,dma_component_identification,8,2,16,2,0,0,,,13.864654834678948,27.769,1024.0,2.0,contiguous,27.769,16,2
contiguous,"['identity_shift', 'add']",add,1,1,16,acc2_2x16_out1,-0.9404834696937847,13.8353,5.907484999999999,512,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",2,pattern,16,2,4096.0,2.0,0.0,2.0,0.0,16,2,dma_component_identification,8,1,16,2,0,0,,,14.775783469693785,27.69425,512.0,1.0,contiguous,27.69425,16,2
contiguous,"['identity_shift', 'add']",add,1,1,16,acc2_2x16_out2,0.5644722025969084,15.877200000000002,5.946315,512,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",2,pattern,16,2,4096.0,2.0,0.0,2.0,0.0,16,2,dma_component_identification,8,2,16,2,0,0,,,15.312727797403094,30.966849999999997,1024.0,2.0,contiguous,30.96685,16,2
contiguous,"['identity_shift', 'add']",add,1,1,16,acc1_8x16_out1,-0.6307623782700027,18.652,5.894985,2048,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",1,pattern,16,8,8192.0,1.0,0.0,0.0,0.0,16,8,dma_component_identification,8,1,16,8,0,0,,,19.282762378270004,31.068050000000003,2048.0,1.0,contiguous,31.06805,16,8
contiguous,"['identity_shift', 'add']",add,1,1,16,acc1_8x16_out2,-0.5637896891072387,20.86675,5.875585,2048,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",1,pattern,16,8,8192.0,1.0,0.0,0.0,0.0,16,8,dma_component_identification,8,2,16,8,0,0,,,21.43053968910724,34.6689,4096.0,2.0,contiguous,34.6689,16,8
contiguous,"['identity_shift', 'add']",add,1,1,16,acc2_8x16_out1,-0.07435422916658396,25.000700000000002,5.91852,2048,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",2,pattern,16,8,16384.0,2.0,0.0,0.0,0.0,16,8,dma_component_identification,8,1,16,8,0,0,,,25.075054229166586,38.9818,2048.0,1.0,contiguous,38.9818,16,8
contiguous,"['identity_shift', 'add']",add,1,1,16,acc2_8x16_out2,-0.19488154000381996,27.02795,5.9296050000000005,2048,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",2,pattern,16,8,16384.0,2.0,0.0,0.0,0.0,16,8,dma_component_identification,8,2,16,8,0,0,,,27.22283154000382,42.3048,4096.0,2.0,contiguous,42.3048,16,8
contiguous,"['identity_shift', 'add']",add,1,1,16,acc1_16x16_out1,0.7657184599961795,27.98855,5.874885,4096,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",1,pattern,16,16,16384.0,1.0,0.0,0.0,0.0,16,16,dma_component_identification,8,1,16,16,0,0,,,27.22283154000382,40.344300000000004,4096.0,1.0,contiguous,40.3443,16,16
contiguous,"['identity_shift', 'add']",add,1,1,16,acc1_16x16_out2,-0.46728616167829173,31.051099999999998,5.867495,4096,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",1,pattern,16,16,16384.0,1.0,0.0,0.0,0.0,16,16,dma_component_identification,8,2,16,16,0,0,,,31.51838616167829,44.8919,8192.0,2.0,contiguous,44.89190000000001,16,16
contiguous,"['identity_shift', 'add']",add,1,1,16,acc2_16x16_out1,-0.5337152417969833,38.273700000000005,5.8874200000000005,4096,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",2,pattern,16,16,32768.0,2.0,0.0,0.0,0.0,16,16,dma_component_identification,8,1,16,16,0,0,,,38.80741524179699,52.16385,4096.0,1.0,contiguous,52.16385,16,16
contiguous,"['identity_shift', 'add']",add,1,1,16,acc2_16x16_out2,-1.1780698634714568,41.9249,5.87977,4096,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",2,pattern,16,16,32768.0,2.0,0.0,0.0,0.0,16,16,dma_component_identification,8,2,16,16,0,0,,,43.10296986347146,57.179550000000006,8192.0,2.0,contiguous,57.17955,16,16
contiguous,"['identity_shift', 'add']",add,1,1,16,acc1_16x32_out1,2.640080136528539,45.74305,5.89554,8192,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",1,pattern,32,16,32768.0,1.0,0.0,0.0,0.0,32,16,dma_component_identification,8,1,32,16,0,0,,,43.10296986347146,58.200900000000004,8192.0,1.0,contiguous,58.200900000000004,32,16
contiguous,"['identity_shift', 'add']",add,1,1,16,acc1_16x32_out2,0.6750708931796083,52.369150000000005,5.90333,8192,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",1,pattern,32,16,32768.0,1.0,0.0,0.0,0.0,32,16,dma_component_identification,8,2,32,16,0,0,,,51.694079106820396,66.2213,16384.0,2.0,contiguous,66.22130000000001,32,16
contiguous,"['identity_shift', 'add']",add,1,1,16,acc2_16x32_out1,0.657512732942223,66.92965000000001,5.905875,8192,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",2,pattern,32,16,65536.0,2.0,0.0,0.0,0.0,32,16,dma_component_identification,8,1,32,16,0,0,,,66.27213726705779,80.99754999999999,8192.0,1.0,contiguous,80.99754999999999,32,16
contiguous,"['identity_shift', 'add']",add,1,1,16,acc2_16x32_out2,-1.3121965104067215,73.55105,5.89006,8192,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",contiguous_load_store,"['device_load', 'alu_add', 'device_store']",2,pattern,32,16,65536.0,2.0,0.0,0.0,0.0,32,16,dma_component_identification,8,2,32,16,0,0,,,74.86324651040673,88.7769,16384.0,2.0,contiguous,88.7769,32,16
contiguous,"['identity_shift', 'add']",add,1,1,16,strided_8x16_stride20_out1_control,-0.7743123782700003,18.508450000000003,5.89842,2048,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",strided_matched,"['device_load', 'alu_add', 'device_store']",1,pattern,16,8,8192.0,1.0,0.0,0.0,0.0,16,8,matched_access_pair,8,1,16,8,0,0,strided_8x16_stride20_out1,control,19.282762378270004,30.89975,2048.0,1.0,strided,30.899749999999997,16,8
strided,"['identity_shift', 'add']",add,1,1,16,strided_8x16_stride20_out1_treatment,3.2615876217299977,22.54435,5.913465,2048,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",strided_matched,"['device_load', 'alu_add', 'device_store']",1,pattern,20,8,8192.0,1.0,0.0,0.0,1.0,20,8,matched_access_pair,8,1,16,8,0,0,strided_8x16_stride20_out1,treatment,19.282762378270004,35.24914999999999,2048.0,1.0,strided,35.24915,16,8
contiguous,"['identity_shift', 'add']",add,1,1,16,strided_8x16_stride20_out2_control,-0.6389896891072375,20.79155,5.955385,2048,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",strided_matched,"['device_load', 'alu_add', 'device_store']",1,pattern,16,8,8192.0,1.0,0.0,0.0,0.0,16,8,matched_access_pair,8,2,16,8,0,0,strided_8x16_stride20_out2,control,21.43053968910724,34.6895,4096.0,2.0,strided,34.689499999999995,16,8
strided,"['identity_shift', 'add']",add,1,1,16,strided_8x16_stride20_out2_treatment,3.1585603108927636,24.589100000000002,6.0143249999999995,2048,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",strided_matched,"['device_load', 'alu_add', 'device_store']",1,pattern,20,8,8192.0,1.0,0.0,0.0,1.0,20,8,matched_access_pair,8,2,16,8,0,0,strided_8x16_stride20_out2,treatment,21.43053968910724,38.6249,4096.0,2.0,strided,38.6249,16,8
contiguous,"['identity_shift', 'add']",add,1,1,16,strided_16x16_stride24_out1_control,0.7292184599961793,27.95205,5.86398,4096,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",strided_matched,"['device_load', 'alu_add', 'device_store']",1,pattern,16,16,16384.0,1.0,0.0,0.0,0.0,16,16,matched_access_pair,8,1,16,16,0,0,strided_16x16_stride24_out1,control,27.22283154000382,40.256099999999996,4096.0,1.0,strided,40.256099999999996,16,16
strided,"['identity_shift', 'add']",add,1,1,16,strided_16x16_stride24_out1_treatment,8.82041845999618,36.04325,5.8986149999999995,4096,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",strided_matched,"['device_load', 'alu_add', 'device_store']",1,pattern,24,16,16384.0,1.0,0.0,0.0,1.0,24,16,matched_access_pair,8,1,16,16,0,0,strided_16x16_stride24_out1,treatment,27.22283154000382,48.826550000000005,4096.0,1.0,strided,48.82655,16,16
contiguous,"['identity_shift', 'add']",add,1,1,16,strided_16x16_stride24_out2_control,0.1830138383217097,31.7014,5.93446,4096,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",strided_matched,"['device_load', 'alu_add', 'device_store']",1,pattern,16,16,16384.0,1.0,0.0,0.0,0.0,16,16,matched_access_pair,8,2,16,16,0,0,strided_16x16_stride24_out2,control,31.51838616167829,45.34715,8192.0,2.0,strided,45.34715,16,16
strided,"['identity_shift', 'add']",add,1,1,16,strided_16x16_stride24_out2_treatment,8.549363838321714,40.067750000000004,5.93628,4096,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",strided_matched,"['device_load', 'alu_add', 'device_store']",1,pattern,24,16,16384.0,1.0,0.0,0.0,1.0,24,16,matched_access_pair,8,2,16,16,0,0,strided_16x16_stride24_out2,treatment,31.51838616167829,54.39225,8192.0,2.0,strided,54.392250000000004,16,16
contiguous,"['identity_shift', 'add']",add,1,1,16,padded_8x16_p1_out1_control,-0.6453654752243665,21.86305,5.906145,2880,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",padded_matched,"['device_load', 'alu_add', 'device_store']",1,pre_padded,18,10,11520.0,1.0,0.0,0.0,0.0,16,8,matched_access_pair,8,1,18,10,1,1,padded_8x16_p1_out1,control,22.508415475224368,34.2949,2880.0,1.0,padded,34.2949,18,10
padded,"['identity_shift', 'add']",add,1,1,16,padded_8x16_p1_out1_treatment,4.769553089202368,24.92485,5.896635,2880,False,"['host_set_input', 'host_get_output', 'host_submit_sync']",padded_matched,"['device_load', 'alu_add', 'device_store']",1,pattern,16,8,8192.0,1.0,1.0,0.0,0.0,16,8,matched_access_pair,8,1,18,10,1,1,padded_8x16_p1_out1,treatment,20.15529691079763,37.225,2880.0,1.0,padded,37.224999999999994,18,10
