static_rank,candidate_id,topology_id,cpu_threads,predicted_ii_ms,predicted_fps,predicted_bottleneck,historical_exact_configuration_match,historical_exact_configuration_match_count,best_exact_historical_candidate_id,best_exact_historical_fps,best_exact_historical_rank_of_169,historical_topology_match_count,best_historical_candidate_id,best_historical_fps,best_historical_rank_of_169,known_buildable_count,known_build_failure_count
1,yolo_multi_pool2_shared13__dual_pre18_14_logits__cpu_threads_4_2_1,yolo_multi_pool2_shared13__dual_pre18_14_logits,"[4, 2, 1]",154.53571702345923,6.470995956541201,cpu_core_pool_ms,False,0,,,,1,yolo_multi_pool2_shared13__dual_pre18_14_logits,4.557815991202715,22,1,0
2,yolo_multi_pool2_pool3__pool4_route_logits__cpu_threads_4_2_1,yolo_multi_pool2_pool3__pool4_route_logits,"[4, 2, 1]",155.03213450224803,6.450275636148837,single_vta_ms,False,0,,,,0,,,,0,1
3,yolo_multi_pool2_small_pre18__dual_pre18_14_logits__cpu_threads_4_2_1,yolo_multi_pool2_small_pre18__dual_pre18_14_logits,"[4, 2, 1]",155.08894647131694,6.4479127800700216,single_vta_ms,False,0,,,,1,yolo_multi_pool2_small_pre18__dual_pre18_14_logits,4.407460441760312,38,1,0
4,yolo_multi_pool2_dual_pre_logits__cpu_threads_4_1,yolo_multi_pool2_dual_pre_logits,"[4, 1]",157.86006833163265,6.334724231204554,single_vta_ms,False,0,,,,7,yolo_pool2_to_dual_pre_logits__rt_s04_s22_q2_poll1000_post1000,5.1131424907995005,4,7,0
5,yolo_multi_pool2_pool3__pool4_route_shared13__small_pre18_logits__cpu_threads_4_2_1_1,yolo_multi_pool2_pool3__pool4_route_shared13__small_pre18_logits,"[4, 2, 1, 1]",160.29379084892622,6.238544828866644,single_vta_ms,False,0,,,,1,yolo_multi_pool2_pool3__pool4_route_shared13__small_pre18_logits,4.437111959686042,37,1,0
6,yolo_multi_pool2_logits__cpu_threads_4_1,yolo_multi_pool2_logits,"[4, 1]",161.63470820933426,6.186790022257428,single_vta_ms,False,0,,,,1,yolo_multi_pool2_logits,5.440232451809825,1,1,0
7,yolo_multi_pool2_trunk12__small_pre18_dual_pre_logits__cpu_threads_4_1_2,yolo_multi_pool2_trunk12__small_pre18_dual_pre_logits,"[4, 1, 2]",161.80879773489931,6.1801336762810495,single_vta_ms,False,0,,,,1,yolo_multi_pool2_trunk12__small_pre18_dual_pre_logits,4.553796150022861,24,1,0
8,yolo_multi_pool2_trunk12__shared13_dual_pre_logits__cpu_threads_4_1_2,yolo_multi_pool2_trunk12__shared13_dual_pre_logits,"[4, 1, 2]",161.8961094079916,6.176800688149443,single_vta_ms,False,0,,,,0,,,,0,1
9,yolo_multi_pool2_pool3__pool4_route_trunk12__shared13_logits__cpu_threads_4_2_1_1,yolo_multi_pool2_pool3__pool4_route_trunk12__shared13_logits,"[4, 2, 1, 1]",162.59392505639073,6.150291283350104,cpu_core_pool_ms,False,0,,,,0,,,,0,0
10,yolo_multi_pool2_trunk12__shared13_small_pre18__dual_pre18_14_logits__cpu_threads_4_1_2_1,yolo_multi_pool2_trunk12__shared13_small_pre18__dual_pre18_14_logits,"[4, 1, 2, 1]",162.60643353534485,6.149818172985361,cpu_core_pool_ms,False,0,,,,0,,,,0,0
11,yolo_multi_pool2_shared13__small_pre18_dual_pre_logits__cpu_threads_4_1_1,yolo_multi_pool2_shared13__small_pre18_dual_pre_logits,"[4, 1, 1]",163.12172467831078,6.130391288910663,single_vta_ms,False,0,,,,1,yolo_multi_pool2_shared13__small_pre18_dual_pre_logits,4.782069731224676,13,1,0
12,yolo_multi_pool2_pool3__pool4_route_trunk12__small_pre18_logits__cpu_threads_4_2_1_1,yolo_multi_pool2_pool3__pool4_route_trunk12__small_pre18_logits,"[4, 2, 1, 1]",163.7276849731664,6.107702556008727,cpu_core_pool_ms,False,0,,,,0,,,,0,0
13,yolo_multi_pool2_trunk12__dual_pre18_14_logits__cpu_threads_4_2_1,yolo_multi_pool2_trunk12__dual_pre18_14_logits,"[4, 2, 1]",163.75554798466845,6.106663330231869,cpu_core_pool_ms,False,0,,,,1,yolo_multi_pool2_trunk12__dual_pre18_14_logits,4.3123900255146825,44,1,0
14,yolo_multi_pool3_logits__cpu_threads_4_1,yolo_multi_pool3_logits,"[4, 1]",164.00638150429646,6.097323718917627,max_cpu_stage_ms,False,0,,,,1,yolo_multi_pool3_logits,4.887718957390626,10,1,0
15,yolo_multi_pool3_shared13__small_pre18_logits__cpu_threads_4_1_1,yolo_multi_pool3_shared13__small_pre18_logits,"[4, 1, 1]",164.00638150429646,6.097323718917627,max_cpu_stage_ms,False,0,,,,1,yolo_multi_pool3_shared13__small_pre18_logits,4.621652269296734,18,1,0
16,yolo_multi_pool3_trunk12__shared13_logits__cpu_threads_4_1_1,yolo_multi_pool3_trunk12__shared13_logits,"[4, 1, 1]",164.12593103584376,6.092882420765115,cpu_core_pool_ms,False,0,,,,0,,,,0,1
17,yolo_multi_pool3_trunk12__small_pre18_logits__cpu_threads_4_1_1,yolo_multi_pool3_trunk12__small_pre18_logits,"[4, 1, 1]",165.25969095261942,6.0510823555073925,cpu_core_pool_ms,False,0,,,,1,yolo_multi_pool3_trunk12__small_pre18_logits,4.262867738700169,48,1,0
