workload_id,config_index,matches_frozen_static_config,observed_median_latency_ms,observed_effective_gmac_per_second,compute_peak_utilization_fraction,measurement_samples,compute_lower_bound_ms,irreducible_perfect_overlap_lower_bound_ms,observed_over_irreducible_bound_gap,irreducible_bound_efficiency_fraction,post_measurement_runtime_dma_bytes,post_measurement_runtime_full_duplex_read_lower_bound_ms,post_measurement_runtime_full_duplex_write_lower_bound_ms,post_measurement_runtime_full_duplex_dma_lower_bound_ms,post_measurement_runtime_perfect_overlap_lower_bound_ms,post_measurement_runtime_bound_dominance,post_measurement_runtime_bound_efficiency_fraction,frozen_static_perfect_overlap_lower_bound_ms,observed_over_frozen_static_bound_gap,artifact_path,evidence_scope
W00,252,False,6.806318,16.985028322214742,0.6634776688365134,3,4.51584,4.51584,1.507209732851474,0.6634776688365134,946176,0.46592,0.12544,0.46592,4.51584,compute,0.6634776688365134,,,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_5tzg2g3_/measurement.json,historical_board_measurement_joined_offline
W00,827,False,5.909069,19.564080906823055,0.7642219104227755,3,4.51584,4.51584,1.308520452451814,0.7642219104227755,997376,0.49792000000000003,0.12544,0.49792000000000003,4.51584,compute,0.7642219104227755,,,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_nn2rlxib/measurement.json,historical_board_measurement_joined_offline
W00,828,True,5.841539,19.790247741220252,0.773056552391416,3,4.51584,4.51584,1.2935664239654197,0.773056552391416,946176,0.46592,0.12544,0.46592,4.51584,compute,0.773056552391416,4.51584,1.2935664239654197,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_4paf5bp8/measurement.json,historical_board_measurement_joined_offline
W01,249,False,3.9270989999999997,14.718944442195118,0.5749587672732468,3,2.25792,2.25792,1.7392551551870747,0.5749587672732468,818176,0.44864,0.06272,0.44864,2.25792,compute,0.5749587672732468,,,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_uvahc7z9/measurement.json,historical_board_measurement_joined_offline
W01,680,False,3.216452,17.970966767108603,0.7019908893401798,3,2.25792,2.25792,1.4245199121315193,0.7019908893401798,1060864,0.60032,0.06272,0.60032,2.25792,compute,0.7019908893401798,,,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_amxvp39y/measurement.json,historical_board_measurement_joined_offline
W01,681,True,3.01707,19.158571726874086,0.748381708081019,3,2.25792,2.25792,1.3362165178571428,0.748381708081019,818176,0.44864,0.06272,0.44864,2.25792,compute,0.748381708081019,2.25792,1.3362165178571428,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_bt7je0na/measurement.json,historical_board_measurement_joined_offline
W02,178,False,6.634656,17.424491036159225,0.6806441810999696,3,4.51584,4.51584,1.4691964285714285,0.6806441810999696,825344,0.45312,0.06272,0.45312,4.51584,compute,0.6806441810999696,,,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_009_8f30/measurement.json,historical_board_measurement_joined_offline
W02,1329,False,5.730688,20.173058453016463,0.7880100958209555,3,4.51584,4.51584,1.2690192743764173,0.7880100958209555,1177600,0.67328,0.06272,0.67328,4.51584,compute,0.7880100958209555,,,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_p3r9dybv/measurement.json,historical_board_measurement_joined_offline
W02,1330,True,5.367924,21.5363526011173,0.8412637734811446,3,4.51584,4.51584,1.1886878188775512,0.8412637734811446,825344,0.45312,0.06272,0.45312,4.51584,compute,0.8412637734811446,4.51584,1.1886878188775512,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_oo09r30h/measurement.json,historical_board_measurement_joined_offline
W04,143,False,3.934029,14.6930162436525,0.5739459470176758,3,2.25792,2.25792,1.7423243516156464,0.5739459470176758,746496,0.43520000000000003,0.03136,0.43520000000000003,2.25792,compute,0.5739459470176758,,,vta/tutorials/frontend/report_out/stage_tile_cotuning/iteration3_tophub_incumbent/tuning_artifacts/config_iy0nzhil/measurement.json,historical_board_measurement_joined_offline
