workload_id,config_index,batch,input_channels,output_channels,input_height,input_width,output_height,output_width,kernel_height,kernel_width,macs,peak_macs_per_second,optimistic_axi_bytes_per_second,compute_lower_bound_ms,unique_input_bytes,unique_weight_bytes,unique_output_bytes,irreducible_unique_total_bytes,irreducible_full_duplex_read_lower_bound_ms,irreducible_full_duplex_write_lower_bound_ms,irreducible_full_duplex_dma_lower_bound_ms,irreducible_perfect_overlap_lower_bound_ms,irreducible_perfect_overlap_upper_bound_operator_rate_per_second,irreducible_no_overlap_reference_ms,irreducible_bound_dominance,irreducible_shared_serial_dma_scenario_ms,irreducible_shared_serial_perfect_overlap_scenario_ms,irreducible_shared_serial_no_overlap_scenario_ms,current_static_load_bytes,current_static_store_bytes,current_static_total_dma_bytes,current_static_traffic_amplification,current_static_full_duplex_read_lower_bound_ms,current_static_full_duplex_write_lower_bound_ms,current_static_full_duplex_dma_lower_bound_ms,current_static_perfect_overlap_lower_bound_ms,current_static_perfect_overlap_upper_bound_operator_rate_per_second,current_static_no_overlap_reference_ms,current_static_bound_dominance,compute_to_current_static_dma_time_ratio,perfect_overlap_bound_gain_if_static_traffic_becomes_unique,current_static_shared_serial_dma_scenario_ms,current_static_shared_serial_perfect_overlap_scenario_ms,current_static_shared_serial_no_overlap_scenario_ms
W00,828,1,64,64,56,56,56,56,3,3,115605504,25600000000.0,1600000000.0,4.51584,200704,36864,200704,438272,0.14848,0.12544,0.14848,4.51584,221.44274376417235,4.78976,compute,0.27392,4.51584,4.78976,745472,200704,946176,2.1588785046728973,0.46592,0.12544,0.46592,4.51584,221.44274376417235,5.1072,compute,9.692307692307692,1.0,0.59136,4.51584,5.1072
W01,681,1,64,128,56,56,28,28,3,3,57802752,25600000000.0,1600000000.0,2.25792,200704,73728,100352,374784,0.17152,0.06272,0.17152,2.25792,442.8854875283447,2.49216,compute,0.23424,2.25792,2.49216,717824,100352,818176,2.1830601092896176,0.44864,0.06272,0.44864,2.25792,442.8854875283447,2.76928,compute,5.032810271041369,1.0,0.51136,2.25792,2.76928
W02,1330,1,128,128,28,28,28,28,3,3,115605504,25600000000.0,1600000000.0,4.51584,100352,147456,100352,348160,0.15488000000000002,0.06272,0.15488000000000002,4.51584,221.44274376417235,4.73344,compute,0.21760000000000002,4.51584,4.73344,724992,100352,825344,2.3705882352941177,0.45312,0.06272,0.45312,4.51584,221.44274376417235,5.03168,compute,9.966101694915253,1.0,0.5158400000000001,4.51584,5.03168
W03,1113,1,64,128,56,56,28,28,1,1,6422528,25600000000.0,1600000000.0,0.25088,200704,8192,100352,309248,0.13056,0.06272,0.13056,0.25088,3985.969387755102,0.44416,compute,0.19327999999999998,0.25088,0.44416,398848,100352,499200,1.6142384105960266,0.24928,0.06272,0.24928,0.25088,3985.969387755102,0.5628799999999999,compute,1.006418485237484,1.0,0.312,0.312,0.56288
W04,463,1,128,256,28,28,14,14,3,3,57802752,25600000000.0,1600000000.0,2.25792,100352,294912,50176,445440,0.24704,0.03136,0.24704,2.25792,442.8854875283447,2.53632,compute,0.2784,2.25792,2.53632,696320,50176,746496,1.6758620689655173,0.43520000000000003,0.03136,0.43520000000000003,2.25792,442.8854875283447,2.72448,compute,5.188235294117646,1.0,0.46656,2.25792,2.72448
W05,575,1,256,256,14,14,14,14,3,3,115605504,25600000000.0,1600000000.0,4.51584,50176,589824,50176,690176,0.4,0.03136,0.4,4.51584,221.44274376417235,4.9472000000000005,compute,0.43135999999999997,4.51584,4.9472,790528,50176,840704,1.218100890207715,0.49408,0.03136,0.49408,4.51584,221.44274376417235,5.04128,compute,9.139896373056994,1.0,0.5254399999999999,4.51584,5.0412799999999995
W06,526,1,128,256,28,28,14,14,1,1,6422528,25600000000.0,1600000000.0,0.25088,100352,32768,50176,183296,0.0832,0.03136,0.0832,0.25088,3985.969387755102,0.36544,compute,0.11456,0.25088,0.36544,245248,50176,295424,1.611731843575419,0.15328,0.03136,0.15328,0.25088,3985.969387755102,0.43551999999999996,compute,1.6367432150313153,1.0,0.18464,0.25088,0.43552
W07,203,1,256,512,14,14,7,7,3,3,57802752,25600000000.0,1600000000.0,2.25792,50176,1179648,25088,1254912,0.76864,0.01568,0.76864,2.25792,442.8854875283447,3.04224,compute,0.78432,2.25792,3.04224,1280000,25088,1305088,1.0399836801305589,0.8,0.01568,0.8,2.25792,442.8854875283447,3.0736000000000003,compute,2.8223999999999996,1.0,0.8156800000000001,2.25792,3.0736
W08,243,1,512,512,7,7,7,7,3,3,115605504,25600000000.0,1600000000.0,4.51584,25088,2359296,25088,2409472,1.49024,0.01568,1.49024,4.51584,221.44274376417235,6.02176,compute,1.50592,4.51584,6.02176,2409472,25088,2434560,1.0104122396940076,1.50592,0.01568,1.50592,4.51584,221.44274376417235,6.037439999999999,compute,2.998725031874203,1.0,1.5215999999999998,4.51584,6.03744
W09,203,1,256,512,14,14,7,7,1,1,6422528,25600000000.0,1600000000.0,0.25088,50176,131072,25088,206336,0.11328,0.01568,0.11328,0.25088,3985.969387755102,0.37983999999999996,compute,0.12896000000000002,0.25088,0.37984,217600,25088,242688,1.1761786600496278,0.136,0.01568,0.136,0.25088,3985.969387755102,0.40256000000000003,compute,1.844705882352941,1.0,0.15168,0.25088,0.40256000000000003
