segment_id,convolutions,full_load_calls,full_load_bytes,bare_load_calls,bare_load_bytes,acc_calls,acc_bytes,full_store_bytes,residual_exactly_acc
vta:01:02,2,252,1494528,224,1490944,28,3584,401408,True
vta:01:03,4,504,2989056,448,2981888,56,7168,802816,True
vta:01:04,4,504,2989056,448,2981888,56,7168,802816,True
vta:01:05,6,712,4434944,640,4424704,72,10240,1003520,True
vta:01:08,9,1056,6287872,960,6273536,96,14336,1304576,True
vta:03:04,2,252,1494528,224,1490944,28,3584,401408,True
vta:05:05,2,208,1445888,192,1442816,16,3072,200704,True
vta:05:06,3,280,1846784,256,1841664,24,5120,301056,True
vta:05:07,3,280,1846784,256,1841664,24,5120,301056,True
vta:08:09,2,272,1452032,256,1449984,16,2048,200704,True
vta:08:10,4,472,2940928,448,2936832,24,4096,301056,True
vta:08:18,12,1326,13507584,1280,13489152,46,18432,577024,True
vta:10:10,2,200,1488896,192,1486848,8,2048,100352,True
vta:10:11,3,268,1736192,256,1732096,12,4096,150528,True
vta:10:12,3,268,1736192,256,1732096,12,4096,150528,True
vta:13:14,2,264,1583104,256,1581056,8,2048,100352,True
vta:13:15,4,460,5276672,448,5270528,12,6144,150528,True
vta:13:16,5,526,5496320,512,5488128,14,8192,175616,True
vta:15:15,2,196,3693568,192,3689472,4,4096,50176,True
vta:15:16,3,262,3913216,256,3907072,6,6144,75264,True
vta:15:17,3,262,3913216,256,3907072,6,6144,75264,True
vta:18:18,2,260,4823040,256,4818944,4,4096,50176,True
vta:18:19,2,260,4823040,256,4818944,4,4096,50176,True
