name,topology,active,ready,q,offset_ms,natural_encounters,allow_ms,wait_ms,paired_wait_gain_percent,active_at_eligible,allow_positive_overlap,state_qualified,positive_wait_blocks,exploratory_candidate,release_to_start_p95_ms
A_a0_r1_q25,A,0,1,0.25,24.503,110,93.6041905,120.57600550000001,-28.983010856012783,40,20,True,0,False,0.03039994975551963
A_a0_r1_q50,A,0,1,0.5,24.78,110,94.003195,120.8888035,-28.518682865526756,40,20,True,0,False,0.030527500179596243
A_a0_r1_q75,A,0,1,0.75,25.077,110,94.411034,120.8427385,-27.901287640312468,40,20,True,0,False,0.03075300035998225
A_a1_r0_q25,A,1,0,0.25,0.368,185,72.171002,120.618006,-67.23551727786081,40,20,True,0,False,0.02041950004640966
A_a1_r0_q50,A,1,0,0.5,0.379,185,72.2569225,120.8051935,-66.42223822608565,40,20,True,0,False,0.02517449981532991
A_a1_r0_q75,A,1,0,0.75,0.423,185,72.45148950000001,120.8588935,-64.35170539158898,40,20,True,0,False,0.0337104499572888
A_a1_r2_q25,A,1,2,0.25,2.474,111,69.385129,134.731512,-94.35994766228643,40,20,True,0,False,0.023550999839790157
A_a1_r2_q50,A,1,2,0.5,2.506,111,69.42205899999999,134.801233,-94.31362945306653,40,20,True,0,False,0.023958000214770434
A_a1_r2_q75,A,1,2,0.75,3.125,111,70.0523055,134.82055300000002,-92.58563975362215,40,20,True,0,False,0.023788549774326383
A_a2_r1_q25,A,2,1,0.25,15.936,187,85.0508505,134.817703,-58.47383231981736,40,20,True,0,False,0.023509500036016106
A_a2_r1_q50,A,2,1,0.5,18.603,187,87.709402,134.818873,-53.710943694320015,40,20,True,0,False,0.02337244984228164
A_a2_r1_q75,A,2,1,0.75,21.808,187,90.87366800000001,134.70502199999999,-48.13070238285159,40,20,True,0,False,0.02340149984229356
B_a0_r1_q50,B,0,1,0.5,0.611,2,81.25023250000001,119.9424445,-52.18352878747008,40,20,True,0,False,0.3922839999198913
B_a1_r0_q25,B,1,0,0.25,0.368,295,76.466685,119.711277,-58.91178494002997,40,20,True,0,False,0.017353500030003487
B_a1_r0_q50,B,1,0,0.5,0.397,295,77.3511385,119.9611495,-57.41027669957507,40,20,True,0,False,0.02875599998515099
B_a1_r0_q75,B,1,0,0.75,0.441,295,73.907419,119.776933,-60.57994273742611,40,20,True,0,False,0.03599250009283423
B_a1_r2_q50,B,1,2,0.5,0.341,4,68.23737700000001,107.90416400000001,-58.37460316372418,40,20,True,0,False,0.02580749995540827
B_a2_r1_q25,B,2,1,0.25,18.269,273,86.343654,107.9628445,-24.980973434829178,40,20,True,0,False,0.028500000247731805
B_a2_r1_q50,B,2,1,0.5,26.657,273,94.7353225,108.04734049999999,-13.96319703629545,40,20,True,0,False,0.027413999941200015
B_a2_r1_q75,B,2,1,0.75,36.331,273,104.1919265,107.994,-3.6502304883971326,40,20,True,0,False,0.02652154986280948
C_a0_r1_q25,C,0,1,0.25,24.751,102,94.0345605,120.9379745,-28.45208029950562,40,20,True,0,False,0.030080999783240258
C_a0_r1_q50,C,0,1,0.5,25.05,102,94.2218225,120.78456800000001,-28.162540035907234,40,20,True,0,False,0.03091594991274178
C_a0_r1_q75,C,0,1,0.75,25.29,102,94.620796,120.906759,-27.759066295646196,40,20,True,0,False,0.031024549645371734
C_a1_r0_q25,C,1,0,0.25,0.368,195,74.75659250000001,120.8841085,-59.847841771642386,40,20,True,0,False,0.04163955021649571
C_a1_r0_q50,C,1,0,0.5,0.376,195,76.78531799999999,120.9651695,-58.07353511437285,40,20,True,0,False,0.01774950018152594
C_a1_r0_q75,C,1,0,0.75,0.399,195,75.98694950000001,120.586041,-60.90664105296805,40,20,True,0,False,0.02441399993840605
C_a1_r2_q25,C,1,2,0.25,2.457,100,69.4528845,135.03777,-94.52082028288072,40,20,True,0,False,0.02431144993752241
C_a1_r2_q50,C,1,2,0.5,2.473,100,69.4515195,134.9687395,-94.40963067918304,40,20,True,0,False,0.0240939499810338
C_a1_r2_q75,C,1,2,0.75,3.089,100,69.9715295,134.8376985,-92.76607420486391,40,20,True,0,False,0.02580994958989319
C_a2_r1_q25,C,2,1,0.25,16.559,197,85.674542,134.895644,-57.443439409507036,40,20,True,0,False,0.025747000193223357
C_a2_r1_q50,C,2,1,0.5,19.101,197,88.2687875,134.96623449999998,-52.919827667702855,40,20,True,0,False,0.023608500044792886
C_a2_r1_q75,C,2,1,0.75,21.594,197,90.699277,135.14358149999998,-49.00960587610312,40,20,True,0,False,0.026433000061661004
D_a0_r1_q25,D,0,1,0.25,22.999,44,72.55304050000001,101.139292,-39.40820538120307,40,20,True,0,False,0.030466000176966188
D_a0_r1_q50,D,0,1,0.5,49.24,44,98.4690995,101.0566705,-2.728679702091663,40,20,True,0,False,0.03485494980122894
