candidate_id,start_name,end_name,end_output_names,needs_route_input,islands,island_count,stage_plan,stage_count,stage_devices,cpu_prefix_convs,cpu_tail_convs,cpu_stage_convs,vta_stage_convs,vta_convs,boundary_points,boundary_conv_outputs,resource_cycle_ms,vta_dma_ms,boundary_ms,dma_fragmentation_ms,sram_risk_ms,tail_cpu_ms,effective_segment_count,small_island_count,pattern_cpu_vta_cpu,pattern_cpu_vta_cpu_vta_cpu,stage_cpu_ms_est,stage_vta_ms_est,total_vta_occupied_ms_est,boundary_bytes_est,balance_imbalance_ms_est,balanced_cycle_ms_est,fitted_cycle_ms_est,predicted_cycle_ms,predicted_fps,boundary_valid,boundary_status,failure_type,boundary_reasons,boundary_warnings,status,package_dir,error_summary
yolo_multi_pool2_logits,pool2,logits,"['small_logits51', 'big_logits66']",False,"[{'start_point_idx': 3, 'end_point_idx': 11, 'start_name': 'pool2', 'end_name': 'logits', 'vta_convs': [3, 4, 5, 6, 7, 8, 9, 10, 11, 12]}]",1,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool2', 'convs': [0, 1, 2]}, {'device': 'vta', 'input_point': 'pool2', 'output_point': 'logits', 'convs': [3, 4, 5, 6, 7, 8, 9, 10, 11, 12]}, {'device': 'cpu', 'input_point': 'logits', 'output_point': 'output', 'convs': [], 'is_tail': True}]",3.0,cpu/vta/cpu,"[0, 1, 2]",[],"[[0, 1, 2], []]","[[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",144.31248,1.6503618181818183,2.4205306666666666,0.08,0.0,0.0,3.0,0.0,1.0,0.0,"[143.47915636363638, 0.0]",[144.31248],144.31248,3630796,0.41666181818180803,148.65420266666666,478.26289816670027,231.05637654167506,4.327948074696967,True,safe,,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;logits_boundary_experimental;cpu_to_vta_boundary_requires_pack_quant:pool2;vta_to_cpu_boundary_requires_unpack_dequant:small_logits51;vta_to_cpu_boundary_requires_unpack_dequant:big_logits66,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_pipeline_baseline/20260514_yolo_multisplit100/packages/yolo_multi_pool2_logits,
yolo_multi_pool2_dual_pre_logits,pool2,dual_pre_logits,"['small_pre26', 'big64']",False,"[{'start_point_idx': 3, 'end_point_idx': 10, 'start_name': 'pool2', 'end_name': 'dual_pre_logits', 'vta_convs': [3, 4, 5, 6, 7, 8, 9, 11]}]",1,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool2', 'convs': [0, 1, 2]}, {'device': 'vta', 'input_point': 'pool2', 'output_point': 'dual_pre_logits', 'convs': [3, 4, 5, 6, 7, 8, 9, 11]}, {'device': 'cpu', 'input_point': 'dual_pre_logits', 'output_point': 'output', 'convs': [10, 12], 'is_tail': True}]",3.0,cpu/vta/cpu,"[0, 1, 2]","[10, 12]","[[0, 1, 2], [10, 12]]","[[3, 4, 5, 6, 7, 8, 9, 11]]","[3, 4, 5, 6, 7, 8, 9, 11]","[3, 10]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",143.47915636363638,1.7305599999999999,2.538154666666667,0.08,0.0,20.05876363636364,3.0,0.0,1.0,0.0,"[143.47915636363638, 20.05876363636364]",[140.17536],140.17536,3807232,3.3037963636363656,149.89533866666667,477.861084513151,231.88677512828775,4.312449467835178,True,safe,,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;cpu_to_vta_boundary_requires_pack_quant:pool2;vta_to_cpu_boundary_requires_unpack_dequant:small_pre26;vta_to_cpu_boundary_requires_unpack_dequant:big64,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_pipeline_baseline/20260514_yolo_multisplit100/packages/yolo_multi_pool2_dual_pre_logits,
yolo_multi_pool3_dual_pre18_14,pool3,dual_pre18_14,"['route23', 'small42', 'big64']",False,"[{'start_point_idx': 4, 'end_point_idx': 9, 'start_name': 'pool3', 'end_name': 'dual_pre18_14', 'vta_convs': [4, 5, 6, 7, 8, 11]}]",1,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool3', 'convs': [0, 1, 2, 3]}, {'device': 'vta', 'input_point': 'pool3', 'output_point': 'dual_pre18_14', 'convs': [4, 5, 6, 7, 8, 11]}, {'device': 'cpu', 'input_point': 'dual_pre18_14', 'output_point': 'output', 'convs': [9, 10, 12], 'is_tail': True}]",3.0,cpu/vta/cpu,"[0, 1, 2, 3]","[9, 10, 12]","[[0, 1, 2, 3], [9, 10, 12]]","[[4, 5, 6, 7, 8, 11]]","[4, 5, 6, 7, 8, 11]","[4, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]",203.89143272727273,1.1405963636363636,1.6728746666666667,0.08,0.0,201.29559272727275,3.0,0.0,1.0,0.0,"[203.89143272727273, 201.29559272727275]",[90.335232],90.335232,2509312,2.5958399999999813,208.39219975757575,506.9907964589545,283.0418489329204,3.533046451505464,True,safe,,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;concat_route_cpu_tail_boundary;cpu_to_vta_boundary_requires_pack_quant:pool3;vta_to_cpu_boundary_requires_unpack_dequant:route23;vta_to_cpu_boundary_requires_unpack_dequant:small42;vta_to_cpu_boundary_requires_unpack_dequant:big64,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_pipeline_baseline/20260514_yolo_multisplit100/packages/yolo_multi_pool3_dual_pre18_14,
yolo_multi_pool1_logits,pool1,logits,"['small_logits51', 'big_logits66']",False,"[{'start_point_idx': 2, 'end_point_idx': 11, 'start_name': 'pool1', 'end_name': 'logits', 'vta_convs': [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]}]",1,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool1', 'convs': [0, 1]}, {'device': 'vta', 'input_point': 'pool1', 'output_point': 'logits', 'convs': [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]}, {'device': 'cpu', 'input_point': 'logits', 'output_point': 'output', 'convs': [], 'is_tail': True}]",3.0,cpu/vta/cpu,"[0, 1]",[],"[[0, 1], []]","[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",156.772512,2.9089509090909087,4.266461333333333,0.08,0.0,0.0,3.0,0.0,1.0,0.0,"[83.06688, 0.0]",[156.772512],156.772512,6399692,36.852816000000004,222.90225464242425,484.2709012555223,288.2444162956988,3.469277958099763,True,safe,,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;logits_boundary_experimental;cpu_to_vta_boundary_requires_pack_quant:pool1;vta_to_cpu_boundary_requires_unpack_dequant:small_logits51;vta_to_cpu_boundary_requires_unpack_dequant:big_logits66,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_pipeline_baseline/20260514_yolo_multisplit100/packages/yolo_multi_pool1_logits,
yolo_multi_pool3_logits,pool3,logits,"['small_logits51', 'big_logits66']",False,"[{'start_point_idx': 4, 'end_point_idx': 11, 'start_name': 'pool3', 'end_name': 'logits', 'vta_convs': [4, 5, 6, 7, 8, 9, 10, 11, 12]}]",1,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool3', 'convs': [0, 1, 2, 3]}, {'device': 'vta', 'input_point': 'pool3', 'output_point': 'logits', 'convs': [4, 5, 6, 7, 8, 9, 10, 11, 12]}, {'device': 'cpu', 'input_point': 'logits', 'output_point': 'output', 'convs': [], 'is_tail': True}]",3.0,cpu/vta/cpu,"[0, 1, 2, 3]",[],"[[0, 1, 2, 3], []]","[[4, 5, 6, 7, 8, 9, 10, 11, 12]]","[4, 5, 6, 7, 8, 9, 10, 11, 12]","[4, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",203.89143272727273,1.0210672727272727,1.4975653333333334,0.08,0.0,0.0,3.0,0.0,1.0,0.0,"[203.89143272727273, 0.0]",[131.852448],131.852448,2246348,36.019492363636346,229.82273536969697,506.9907964589545,299.11475064201136,3.3431985478938384,True,safe,,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;logits_boundary_experimental;cpu_to_vta_boundary_requires_pack_quant:pool3;vta_to_cpu_boundary_requires_unpack_dequant:small_logits51;vta_to_cpu_boundary_requires_unpack_dequant:big_logits66,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_pipeline_baseline/20260514_yolo_multisplit100/packages/yolo_multi_pool3_logits,
yolo_multi_pool1_dual_pre_logits,pool1,dual_pre_logits,"['small_pre26', 'big64']",False,"[{'start_point_idx': 2, 'end_point_idx': 10, 'start_name': 'pool1', 'end_name': 'dual_pre_logits', 'vta_convs': [2, 3, 4, 5, 6, 7, 8, 9, 11]}]",1,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool1', 'convs': [0, 1]}, {'device': 'vta', 'input_point': 'pool1', 'output_point': 'dual_pre_logits', 'convs': [2, 3, 4, 5, 6, 7, 8, 9, 11]}, {'device': 'cpu', 'input_point': 'dual_pre_logits', 'output_point': 'output', 'convs': [10, 12], 'is_tail': True}]",3.0,cpu/vta/cpu,"[0, 1]","[10, 12]","[[0, 1], [10, 12]]","[[2, 3, 4, 5, 6, 7, 8, 9, 11]]","[2, 3, 4, 5, 6, 7, 8, 9, 11]","[2, 10]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",152.635392,2.989149090909091,4.384085333333333,0.08,0.0,20.05876363636364,3.0,0.0,1.0,0.0,"[83.06688, 20.05876363636364]",[152.635392],152.635392,6576128,69.568512,240.2281592242424,482.27605647993687,300.740133538166,3.325129866224167,True,safe,,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;cpu_to_vta_boundary_requires_pack_quant:pool1;vta_to_cpu_boundary_requires_unpack_dequant:small_pre26;vta_to_cpu_boundary_requires_unpack_dequant:big64,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_pipeline_baseline/20260514_yolo_multisplit100/packages/yolo_multi_pool1_dual_pre_logits,
yolo_multi_pool2_dual_pre18_14,pool2,dual_pre18_14,"['route23', 'small42', 'big64']",False,"[{'start_point_idx': 3, 'end_point_idx': 9, 'start_name': 'pool2', 'end_name': 'dual_pre18_14', 'vta_convs': [3, 4, 5, 6, 7, 8, 11]}]",1,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool2', 'convs': [0, 1, 2]}, {'device': 'vta', 'input_point': 'pool2', 'output_point': 'dual_pre18_14', 'convs': [3, 4, 5, 6, 7, 8, 11]}, {'device': 'cpu', 'input_point': 'dual_pre18_14', 'output_point': 'output', 'convs': [9, 10, 12], 'is_tail': True}]",3.0,cpu/vta/cpu,"[0, 1, 2]","[9, 10, 12]","[[0, 1, 2], [9, 10, 12]]","[[3, 4, 5, 6, 7, 8, 11]]","[3, 4, 5, 6, 7, 8, 11]","[3, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 11]",201.29559272727275,1.7698909090909092,2.59584,0.08,0.0,201.29559272727275,3.0,0.0,1.0,0.0,"[143.47915636363638, 201.29559272727275]",[102.795264],102.795264,3893760,57.81643636363637,243.24200727272734,505.73912914878326,308.8662877417413,3.237646967920793,True,safe,,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;concat_route_cpu_tail_boundary;cpu_to_vta_boundary_requires_pack_quant:pool2;vta_to_cpu_boundary_requires_unpack_dequant:route23;vta_to_cpu_boundary_requires_unpack_dequant:small42;vta_to_cpu_boundary_requires_unpack_dequant:big64,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_pipeline_baseline/20260514_yolo_multisplit100/packages/yolo_multi_pool2_dual_pre18_14,
yolo_multi_pool3_dual_pre_logits,pool3,dual_pre_logits,"['small_pre26', 'big64']",False,"[{'start_point_idx': 4, 'end_point_idx': 10, 'start_name': 'pool3', 'end_name': 'dual_pre_logits', 'vta_convs': [4, 5, 6, 7, 8, 9, 11]}]",1,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool3', 'convs': [0, 1, 2, 3]}, {'device': 'vta', 'input_point': 'pool3', 'output_point': 'dual_pre_logits', 'convs': [4, 5, 6, 7, 8, 9, 11]}, {'device': 'cpu', 'input_point': 'dual_pre_logits', 'output_point': 'output', 'convs': [10, 12], 'is_tail': True}]",3.0,cpu/vta/cpu,"[0, 1, 2, 3]","[10, 12]","[[0, 1, 2, 3], [10, 12]]","[[4, 5, 6, 7, 8, 9, 11]]","[4, 5, 6, 7, 8, 9, 11]","[4, 10]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",203.89143272727273,1.1012654545454545,1.6151893333333334,0.08,0.0,20.05876363636364,3.0,0.0,1.0,0.0,"[203.89143272727273, 20.05876363636364]",[127.71532799999999],127.71532799999999,2422784,76.17610472727274,256.1223555878788,506.9907964589545,318.8394658056477,3.1363745936318987,True,safe,,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;cpu_to_vta_boundary_requires_pack_quant:pool3;vta_to_cpu_boundary_requires_unpack_dequant:small_pre26;vta_to_cpu_boundary_requires_unpack_dequant:big64,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_pipeline_baseline/20260514_yolo_multisplit100/packages/yolo_multi_pool3_dual_pre_logits,
yolo_multi_pool2_shared13__small_pre18_logits,pool2,logits,"['small_logits51', 'big_logits66']",True,"[{'start_point_idx': 3, 'end_point_idx': 7, 'start_name': 'pool2', 'end_name': 'shared13', 'vta_convs': [3, 4, 5, 6, 7]}, {'start_point_idx': 8, 'end_point_idx': 11, 'start_name': 'small_pre18', 'end_name': 'logits', 'vta_convs': [9, 10, 11, 12]}]",2,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool2', 'convs': [0, 1, 2]}, {'device': 'vta', 'input_point': 'pool2', 'output_point': 'shared13', 'convs': [3, 4, 5, 6, 7]}, {'device': 'cpu', 'input_point': 'shared13', 'output_point': 'small_pre18', 'convs': [8]}, {'device': 'vta', 'input_point': 'small_pre18', 'output_point': 'logits', 'convs': [9, 10, 11, 12]}, {'device': 'cpu', 'input_point': 'logits', 'output_point': 'output', 'convs': [], 'is_tail': True}]",5.0,cpu/vta/cpu/vta/cpu,"[0, 1, 2]",[],"[[0, 1, 2], [8], []]","[[3, 4, 5, 6, 7], [9, 10, 11, 12]]","[3, 4, 5, 6, 7, 9, 10, 11, 12]","[3, 7, 8, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",143.966368,2.476310909090909,3.6319226666666666,0.16,0.0,0.0,5.0,0.0,0.0,1.0,"[143.47915636363638, 1.678118787878788, 0.0]","[89.98912, 53.977247999999996]",143.966368,5447884,0.487211636363611,195.3912891393939,767.3437426662022,338.379402521096,2.95526262103869,True,safe,,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;route_branch_cpu_to_vta_boundary;logits_boundary_experimental;cpu_to_vta_boundary_requires_pack_quant:pool2;vta_to_cpu_boundary_requires_unpack_dequant:route23;vta_to_cpu_boundary_requires_unpack_dequant:shared38;cpu_to_vta_boundary_requires_pack_quant:route23;cpu_to_vta_boundary_requires_pack_quant:shared38;cpu_to_vta_boundary_requires_pack_quant:small42;vta_to_cpu_boundary_requires_unpack_dequant:small_logits51;vta_to_cpu_boundary_requires_unpack_dequant:big_logits66,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_pipeline_baseline/20260514_yolo_multisplit100/packages/yolo_multi_pool2_shared13__small_pre18_logits,
yolo_multi_pool2_trunk12__shared13_logits,pool2,logits,"['small_logits51', 'big_logits66']",True,"[{'start_point_idx': 3, 'end_point_idx': 6, 'start_name': 'pool2', 'end_name': 'trunk12', 'vta_convs': [3, 4, 5, 6]}, {'start_point_idx': 7, 'end_point_idx': 11, 'start_name': 'shared13', 'end_name': 'logits', 'vta_convs': [8, 9, 10, 11, 12]}]",2,"[{'device': 'cpu', 'input_point': 'data', 'output_point': 'pool2', 'convs': [0, 1, 2]}, {'device': 'vta', 'input_point': 'pool2', 'output_point': 'trunk12', 'convs': [3, 4, 5, 6]}, {'device': 'cpu', 'input_point': 'trunk12', 'output_point': 'shared13', 'convs': [7]}, {'device': 'vta', 'input_point': 'shared13', 'output_point': 'logits', 'convs': [8, 9, 10, 11, 12]}, {'device': 'cpu', 'input_point': 'logits', 'output_point': 'output', 'convs': [], 'is_tail': True}]",5.0,cpu/vta/cpu/vta/cpu,"[0, 1, 2]",[],"[[0, 1, 2], [7], []]","[[3, 4, 5, 6], [8, 9, 10, 11, 12]]","[3, 4, 5, 6, 8, 9, 10, 11, 12]","[3, 6, 7, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",143.47915636363638,2.6729654545454546,3.9203493333333332,0.16,0.0,0.0,5.0,0.0,0.0,1.0,"[143.47915636363638, 13.424950303030304, 0.0]","[87.220224, 54.32336]",141.543584,5880524,1.9355723636363678,196.33059318787878,767.1088179873425,339.0251493877447,2.949633682946321,True,safe,build_failed,,per_stage_quantization_experimental;non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;route_branch_cpu_to_vta_boundary;logits_boundary_experimental;cpu_to_vta_boundary_requires_pack_quant:pool2;vta_to_cpu_boundary_requires_unpack_dequant:route23;vta_to_cpu_boundary_requires_unpack_dequant:trunk34;cpu_to_vta_boundary_requires_pack_quant:route23;cpu_to_vta_boundary_requires_pack_quant:shared38;vta_to_cpu_boundary_requires_unpack_dequant:small_logits51;vta_to_cpu_boundary_requires_unpack_dequant:big_logits66,build_failed,," [bt] (6) /home/orange/code/tvm/build/libtvm.so(tvm::transform::Pass::operator()(tvm::IRModule, tvm::transform::PassContext const&) const+0x3d4) [0x75ad03bce3f4]
  [bt] (5) /home/orange/code/tvm/build/libtvm.so(tvm::transform::ModulePassNode::operator()(tvm::IRModule, tvm::transform::PassContext const&) const+0x1bf) [0x75ad03bd76df]
  [bt] (4) /home/orange/code/tvm/build/libtvm.so(+0x287c5f7) [0x75ad0567c5f7]
  [bt] (3) /home/orange/code/tvm/build/libtvm.so(tvm::relay::TypeInferencer::Infer(tvm::GlobalVar, tvm::relay::Function)+0xc9) [0x75ad05674119]
  [bt] (2) /home/orange/code/tvm/build/libtvm.so(+0x24f2629) [0x75ad052f2629]
  [bt] (1) /home/orange/code/tvm/build/libtvm.so(+0x99d3ab) [0x75ad0379d3ab]
  [bt] (0) /home/orange/code/tvm/build/libtvm.so(tvm::runtime::Backtrace[abi:cxx11]()+0x25) [0x75ad05bfbd95]
  File ""/home/orange/code/tvm/src/relay/analysis/type_solver.cc"", line 643
InternalError: Check failed: (false) is false: relay.concatenate requires all tensors have the same ndim"
